chr	marker	number	pos	agp_pos
7	PZA01044.1	m0837	134.4	169409619
8	PZA02388.1	m0839	0	168987
8	PZA02174.2	m0840	9.8	4101393
8	PZA01600.2	m0841	10.5	4235308
8	PZA01623.3	m0842	14.8	5112362
8	PZA00368.1	m0843	17.1	5632361
8	PZA00058.1	m0844	17.6	5966855
8	PHM4711.14	m0845	18.3	6659366
8	PZA00416.7	m0846	20.7	8098104
8	PZA01601.1	m0847	21.2	8404180
8	PZA01691.1	m0849	30.2	11620194
8	PHM9695.8	m0850	32.1	12401359
8	PZA01951.1	m0851	32.3	12679093
8	PZA01079.1	m0852	36.4	14124011
8	PZA02955.3	m0853	37.1	14721442
8	PZA01357.2	m0854	39.3	16787666
8	PZA02454.2	m0856	42	18466260
8	PHM1978.111	m0857	47.4	21859963
8	PHM6428.11	m0858	48.6	22422753
8	PZA00758.1	m0860	49.9	23796614
8	PHM2350.17	m0861	50	23985588
8	PZA01196.2	m0862	50.6	24748306
8	PZA00498.5	m0863	52.4	48775889
8	PZA00793.2	m0866	52.7	64422612
8	PZA00379.2	m0868	53	65657264
8	PHM11114.7	m0871	53.4	70900062
8	PZA01470.1	m0872	53.9	72801634
8	PZA01301.1	m0873	54.7	82235933
8	PZA02522.1	m0875	54.8	82710446
8	PZA02683.1	m0877	56	90837884
8	PHM3978.104	m0878	57.5	99958850
8	PZA03135.1	m0880	57.7	100564729
8	PZA02019.1	m0881	58	100932453
8	PHM4134.8	m0882	59.7	105795522
8	PZA01972.14	m0885	61.3	111334115
8	PZA02566.1	m0886	61.5	112319306
8	PZA03012.7	m0888	62.3	115257505
8	PHM934.19	m0889	63.3	116787081
8	PZA02748.3	m0890	63.5	117272967
8	PZA03638.1	m0891	64.1	118438603
8	PHM3993.28	m0894	64.2	118668819
8	PZB02155.1	m0895	66.9	123273379
8	PZA01038.1	m0896	67.1	123599429
8	PHM10525.9/11	m0897	67.3	124752738
8	PZA00118.1/5	m0898	67.4	126154721
8	PZA03612.2/1	m0899	68	128614111
8	PHM14152.18	m0903	69	131567829
8	PHM448.23	m0907	69.8	133774844
8	PZA00090.1	m0909	70.6	137480740
8	PZA02011.1	m0910	71.6	140212684
8	PZA00429.1	m0911	74.3	144443155
8	PZA03651.1	m0912	76.1	146342392
8	PHM4757.14	m0914	80.2	151452478
8	PZA03182.5	m0915	80.8	152155390
8	PZA00951.1	m0916	81.6	154671931
8	PHM12749.13	m0917	82	155071842
8	PHM15278.6	m0918	82.3	155483712
8	PZA03698.1	m0919	82.4	155571308
8	PZA01741.1	m0920	82.6	156062016
8	PZA00838.2	m0921	87.3	158949069
8	PHM3465.6	m0922	88.2	159478175
8	PZA00706.16	m0923	88.5	159898464
8	PZB00811.1	m0925	89.5	160536187
8	PZA00675.1	m0926	91.3	161460056
8	PHM1834.47	m0927	92.1	162446039
8	PZA02746.2	m0928	94.1	163067046
8	PZA00460.3/8	m0929	95.6	163565258
8	PZA00362.1	m0930	96.5	163939260
8	PZA00020.5	m0931	98.2	164114124
8	PZA01316.1	m0932	99	164369484
8	PHM4786.9	m0933	100.3	164796059
8	PZA00904.1	m0934	103.7	165809693
8	PZA01964.29	m0935	106.9	166984210
8	PHM14046.9	m0936	117.5	169471278
8	PZA00189.23	m0937	119	170014166
8	PHM14104.23	m0938	123.2	170631849
8	PZA00760.1	m0939	125	171099818
8	PHM2749.10	m0940	127.4	171703732
8	PZA01290.1	m0941	127.9	171827759
9	PHM3925.79	m0945	0	3955834
9	PZA00285.3	m0946	12.6	8620675
9	PZA01799.1/2	m0947	14.6	9886001
9	PZA01195.3	m0950	18.7	11345615
9	PZA00466.1	m0951	20.7	11972541
9	PZA01386.3	m0952	21	12214639
9	PZA02344.1	m0953	23.8	13660446
9	PHM5181.10	m0954	26.8	15582276
9	PZA02702.1	m0955	28.5	16228716
9	PZA03416.7	m0956	30.4	16979604
9	PHM9374.5	m0957	31.2	17653382
9	PZA00860.1	m0958	32.6	18684420
9	PZA03058.22/21	m0959	34.5	19292749
9	zb7.2	m0960	38.9	22042824
9	PZB00540.3	m0963	40	23217547
9	PZB01110.6	m0968	41.8	24028939
9	PZA02648.2	m0969	42.8	25655015
9	PZB00959.1	m0970	44.5	28529598
9	PZA02878.13	m0973	45.2	37421647
9	PZA03469.1	m0974	45.3	42852670
9	PZB00014.1	m0976	45.4	46590522
9	PZA03057.3	m0977	45.9	73251636
9	PZA01791.2	m0979	46.1	77467510
9	PZB00761.1	m0980	46.3	83959503
9	PZA01861.1	m0981	46.6	85739915
9	PZA01062.1	m0982	47	88057450
9	PZA03596.1	m0984	47.2	90435889
9	PZA00947.1	m0985	49.1	96885795
9	PZB01899.1	m0987	49.5	98503140
9	PZA00225.8	m0988	51.9	104537647
9	PZA00152.1	m0989	53.1	107106816
9	PZA00015.5	m0991	54	109910040
9	PZA03470.1	m0992	54.7	110522266
9	PZA03235.1	m0993	56.7	114897740
9	PZA02613.1	m0994	57.3	116763624
9	PZA02325.4	m0995	57.7	117870517
9	PZA01819.1	m0996	58.1	118511599
9	PZA00840.1	m0997	62	124112712
9	PZA00060.2	m0998	62.2	124619263
9	PZA00213.19	m0999	62.9	126584775
9	PHM3330.25	m1000	63.3	128514657
9	PZA02111.1	m1004	65.4	130252041
9	PZA03670.1	m1005	65.5	130886807
9	PZA02235.14	m1007	67	132119921
9	PZA01096.1	m1008	69.4	133450589
9	PHM1766.1	m1009	74	136401562
9	PZA02252.2	m1010	74.2	136597896
9	PZA01369.1	m1011	85.6	140926459
9	PHM816.29	m1012	87.3	142043762
9	PZB00221.3	m1014	87.9	142270917
9	PZA02197.1	m1016	88.4	142430703
9	PZA00323.3	m1017	88.5	142500151
9	PZA01715.1/2	m1019	89.4	142948640
9	PZA00511.3	m1020	89.8	143083984
9	PZA02381.1	m1021	93.5	144723174
9	PZA00912.2	m1022	94.8	145147995
9	PHM4303.16	m1023	98.2	146470462
9	PZA00832.1	m1024	101.2	147130958
9	PZA00708.3	m1026	103	147381495
9	PHM1911.173	m1027	107.5	148569623
9	PHM13681.12	m1028	107.6	148712750
10	PZA02221.20	m1031	0.2	1948195
10	PZA01313.2	m1032	5.9	3597865
10	PHM3631.47	m1033	8.9	4192365
10	PZA02095.10	m1034	15.2	5118792
10	PHM2828.83	m1035	21.3	6121124
10	PHM3765.7	m1036	24	7905014
10	PZA01883.2	m1037	24.8	8951058
10	PZB01301.5	m1039	26.8	9747844
10	PHM15331.16	m1040	28.5	10432913
10	PZA00463.3	m1041	31	13546271
10	PZA01642.1	m1042	32.4	14703299
10	PZA02961.6	m1044	33.3	16264665
10	PHM3922.32	m1045	33.8	17722455
10	PZA00079.1	m1046	33.9	18903610
10	PZA02853.11	m1048	35.8	25966265
10	PZD00033.3	m1049	36	30832274
10	PZA03491.1	m1050	36.2	45411991
10	PZA01597.1	m1051	36.5	61603578
10	PZA01677.1	m1053	36.9	70797622
10	PZA01877.2	m1057	38.6	77492479
10	PZB00409.6	m1058	40.1	84002545
10	PZA00337.4	m1059	40.6	86327462
10	PHM12990.15	m1060	40.8	86998024
10	PZA00814.1	m1061	41.1	87194428
10	PZA01619.1	m1062	41.9	92046525
10	PZA00048.1	m1063	42.9	98582185
10	PZA00400.3	m1064	43	98866843
10	PZA02398.2	m1065	43.4	99471497
10	PHM12625.18	m1067	43.8	106622056
10	PZA01292.1	m1070	44.3	109633669
10	PZA01919.2	m1071	44.7	111259915
10	PZA02128.3	m1072	44.8	111608632
10	PZA01089.1	m1073	46.7	117372646
10	PZA02219.2	m1075	47.1	118308445
10	PZA01141.1	m1077	47.6	120540075
10	PZA03713.1	m1078	48	121490385
10	PZA03196.1	m1079	48.8	124005294
10	PZA00866.2	m1080	49	124203475
10	PZA01005.1	m1081	49.2	124687594
10	PZA00647.9	m1082	52.2	129730798
10	PZA01241.2	m1083	53.2	130452415
10	PZA02320.1	m1084	56.1	132256686
10	PZB01111.8	m1085	58.4	134034340
10	PZA01456.2	m1086	61.6	135928405
10	PHM18513.156	m1087	63	136531058
10	PHM15868.56	m1088	64.5	137132509
10	PZA02663.1	m1089	64.8	137627637
10	PZA01995.2	m1090	69.2	139616869
10	PZA03603.1	m1091	75.4	141833128
10	PZA00130.9	m1096	80.8	143269641
10	PZA02969.9	m1097	81.3	143675935
10	PZA02049.1	m1098	81.6	144025681
10	PZA00007.1	m1099	82.1	144172406
10	PHM5435.25	m1100	82.2	144239868
10	PZA01073.1	m1101	83.2	144549844
10	PZA02578.1	m1104	91.2	146554184
10	PZA00062.4	m1105	93.7	147000162
